Name,Platform,Follow,Link,CAT,Status
Chu Hoai Bao,Facebook,961891,https://www.facebook.com/louischu.hoaibao,Celeb/VIP,Agree
Pesam,Facebook,658.775,https://facebook.com/pesam1990/,Celeb/VIP,Agree
Andrea Aybar,Facebook,110.609,https://www.facebook.com/AndreaAybarFanPage/,Celeb/VIP,Agree
Linh Ngọc Đàm,Facebook,867.562,https://www.facebook.com/linhngocdam,Celeb/VIP,Agree
Khả Ngân shushi,Facebook,520610,https://www.facebook.com/khangansushiofficial/,Celeb/VIP,Agree
Jun Phạm,Facebook,233635,https://www.facebook.com/junpham247/,Celeb/VIP,Agree
Will Nguyen,Facebook,353.967,https://www.facebook.com/will.365band,Celeb/VIP,Agree
Kim Chi,Facebook,612049,https://www.facebook.com/NguyenKimChi.Official/,Celeb/VIP,Agree
An Trần,Facebook,219.967,https://www.facebook.com/profile.php?id=786549397,Micro Influencer,Agree
Nguyễn Lệ Nam Em,Facebook,609598,https://www.facebook.com/missnamem,Celeb/VIP,Agree
Phương vy idol,Facebook,295.647,https://www.facebook.com/PhuongVy.Idol/,Celeb/VIP,Agree
Châu Bùi,Instagram,1400000,https://www.instagram.com/chaubui_/,Celeb/VIP,Agree
Hồng Vân,Facebook,169.508,https://www.facebook.com/hong.van1966,Celeb/VIP,Agree
Kyo York,Facebook,"2,049,198",https://www.facebook.com/kyoyorkvn/,Specialist/Professional Influencer,Agree
Tun Phạm,Facebook,425527,https://www.facebook.com/tunpham97,Celeb/VIP,Agree
Minh Hà,Facebook,98650,https://www.facebook.com/cunha.mc,Micro Influencer,Agree
Hoàng Dũng,Facebook,147710,https://www.facebook.com/nsndhoangdung,Celeb/VIP,Agree
Minh Bùi (Minxu),Facebook,213144,https://www.facebook.com/MinxuQuocminh,Celeb/VIP,Agree
Quang Tâm,Facebook,30.856,https://www.facebook.com/vicyuan888,Micro Influencer,Agree
Nguyên Vũ,Facebook,54824,https://www.facebook.com/nguyenvusinger7584,Micro Influencer,Agree
Nguyễn Duy Mạnh,Facebook,26.859,https://www.facebook.com/duymanhmc2012,Micro Influencer,Agree
Min,Facebook,703491,https://www.facebook.com/min.official.min/,Celeb/VIP,Agree
Kaity Nguyen,Facebook,644664,https://www.facebook.com/kaityannguyen/,Celeb/VIP,Agree
Trang Hý,Facebook,1144390,https://www.facebook.com/tranghyyy.1663,Celeb/VIP,Agree
Khoai Lang Thang,Facebook,359031,https://www.facebook.com/KhoaiLangThang/,Micro Influencer,Agree
Huyền Chip,Facebook,74.695,https://m.facebook.com/chipiscrazy/,Micro Influencer,Agree
Trương Chi Trúc Diễm,Facebook,177.198,https://www.facebook.com/1611285922/,Celeb/VIP,Agree
Nhã Phương,Facebook,"5,030,182",https://m.facebook.com/nhaphuongnabi/,Celeb/VIP,Agree
SlimV,Facebook,323.039,https://www.facebook.com/SlimV.Producer.DJ/,Specialist/Professional Influencer,Agree
Nguyễn Công Trí,Facebook,86599,https://www.facebook.com/desginernguyencongtri,Specialist/Professional Influencer,Agree
Lưu Thiên Hương,Facebook,106.373,https://www.facebook.com/1845998685/,Specialist/Professional Influencer,Agree
Hữu Công,Facebook,"2,466,250",https://www.facebook.com/huucong.69/,Celeb/VIP,Agree
Đặng Thị Thái Bình,Facebook,86.029,https://www.facebook.com/511867494/,Micro Influencer,Agree
Đào Thu Trang,Facebook,73.86,https://www.facebook.com/daothutrang,Micro Influencer,Agree
Dương Thuỳ Linh,Facebook,81.978,https://www.facebook.com/duongthuylinh,Micro Influencer,Agree
Soobin Hoàng Sơn,Facebook,"788,688",https://www.facebook.com/hoangson.soobin92,Celeb/VIP,Agree
Lê Thị Huyền Anh,Facebook,"4,091,022",https://www.facebook.com/ba.tung.7,Celeb/VIP,Agree
Bảo Anh,Facebook,"217,074",https://www.facebook.com/NguyenHoaiBaoAnhFanPage/,Celeb/VIP,Agree
Hoàng Tôn,Facebook,"54,338",https://www.facebook.com/cshoangton,Celeb/VIP,Agree
Suni Hạ Linh ,Facebook,"60,389",https://www.facebook.com/suni.dreams,Celeb/VIP,Agree
Nguyễn Thu Hương,Facebook,57.167,https://www.facebook.com/huongmoon1110,Micro Influencer,Agree
Lý Lê Ngọc,Facebook,33.236,https://www.facebook.com/ngocly.lethi.09?fref=ts,Micro Influencer,Agree
Lê Thị Phương Hạnh,Facebook,142.42,https://www.facebook.com/lethiphuong.hanh,Micro Influencer,Agree
Vũ Huyền,Facebook,39.309,https://www.facebook.com/vu.huyen.1614,Micro Influencer,Agree
Le Thùy,Facebook,131000,https://www.facebook.com/mick3yhero,Micro Influencer,Agree
Vũ Nguyệt Thư,Facebook,100.885,http://facebook.com/Cuonsach.Anhtrang,Micro Influencer,Agree
Đinh Lan Phương,Facebook,101.331,https://www.facebook.com/dinhlanphuong2885,Micro Influencer,Agree
Vân Lê Hồng,Facebook,102.997,https://www.facebook.com/lehongvan9183?fref=ts,Micro Influencer,Agree
Phan Thanh Huệ,Facebook,95.538,https://www.facebook.com/phan.thanhhue?fref=ts,Micro Influencer,Agree
Nụ Thị Phạm,Facebook,112.384,https://www.facebook.com/NuThiPham,Micro Influencer,Agree
Thu Quỳnh Nguyễn,Facebook,81.919,https://www.facebook.com/quynhmabu.chuyenhangxachtay,Micro Influencer,Agree
Nguyễn Thị Thanh Huyền,Facebook,17.435,https://www.facebook.com/thanhhuyen.bg81,Micro Influencer,Agree
Phùng Thanh Xuân,Facebook,111.906,https://www.facebook.com/phung.thanhxuan?fref=ts,Micro Influencer,Agree
Nhi Yen Vo,Facebook,42.397,https://www.facebook.com/nhi.vo.925?fref=ufi,Micro Influencer,Agree
Thường Nga,Facebook,82.709,https://www.facebook.com/thuong.nga.5,Micro Influencer,Agree
Hai Van Hoang,Facebook,51.387,https://www.facebook.com/haivan.hoang.5836,Micro Influencer,Agree
Đinh Thu Hà,Facebook,51.849,https://www.facebook.com/huong.xinh.22?fref=ts,Micro Influencer,Agree
Ngô Phuương Thanh,Facebook,103.693,https://www.facebook.com/ngo.thanh.102,Micro Influencer,Agree
Trần Thị Yến,Facebook,58.713,https://www.facebook.com/thuanyenandyou,Micro Influencer,Agree
Yen Hoang MBP,Facebook,23.203,https://www.facebook.com/yen.nguyenhoang.165,Micro Influencer,Agree
Nguyễn Thuý Hằng,Facebook,221.529,https://www.facebook.com/nguyen.t.hang.7127,Micro Influencer,Agree
Mai Thu Phượng,Facebook,28.892,https://www.facebook.com/phamminhanh2014,Micro Influencer,Agree
Thu Nga Nguyen,Facebook,202.122,https://www.facebook.com/thunga.nguyen.75,Micro Influencer,Agree
Phan Thanh Huệ,Facebook,95.538,https://www.facebook.com/phan.thanhhue,Micro Influencer,Agree
Hà Vũ,Facebook,106.638,https://www.facebook.com/vuthiha89,Micro Influencer,Agree
Thanh Hoài Nguyễn,Facebook,86.254,https://www.facebook.com/profile.php?id=100003985466005,Micro Influencer,Agree
Nguyễn Thị Hường,Facebook,49.529,https://www.facebook.com/huong.33671,Micro Influencer,Agree
Trần Phương Anh,Facebook,154.679,https://www.facebook.com/tranphuonganh1912?fref=ts,Micro Influencer,Agree
Trần Linh Phương,Facebook,180000,https://www.facebook.com/em.nghe,Micro Influencer,Agree
Nguyễn THị Hương,Facebook,74400,https://www.facebook.com/huong.meo.353,Micro Influencer,Agree
Giang Pham,Facebook,218500,https://www.facebook.com/profile.php?id=100004463642886,Micro Influencer,Agree
Thanh Huyền,Facebook,100890,https://www.facebook.com/thanhhuyen.bgvn?fref=ts,Micro Influencer,Agree
Ngô Văn Lợi,Facebook,15645,https://www.facebook.com/ngoloi.1979?fref=ts,Micro Influencer,Agree
Lưu Thị Hải Yến,Facebook,79033,https://www.facebook.com/haiyen.luu.52?fref=ts,Micro Influencer,Agree
Đoàn Thị Ngọc Ngân,Facebook,248789,https://www.facebook.com/huongthang1310,Micro Influencer,Agree
Thúy Lê,Facebook,48368,https://www.facebook.com/profile.php?id=100000179682506,Micro Influencer,Agree
Phạm Thanh Dung,Facebook,15900,https://www.facebook.com/metomtep2012,Micro Influencer,Agree
Thanhtu Nguyen,Facebook,10600,https://m.facebook.com/thanhtu.allsuper?fref=nf&pn_ref=story,Micro Influencer,Agree
Hiển Thanh Trần,Facebook,55000,https://www.facebook.com/dung.phamhp1985?fref=ts,Micro Influencer,Agree
Hung Tran,Facebook,51268,https://www.facebook.com/tranquochungcp,Micro Influencer,Agree
Đinh Lan Phương,Facebook,102898,https://www.facebook.com/dinhlanphuong2885,Micro Influencer,Agree
Trang Huyền,Facebook,200000,https://www.facebook.com/boboiboy.pham.7,Micro Influencer,Agree
Nguyễn Thị Hồng Thắm,Facebook,56868,https://www.facebook.com/nguyenthamnb?fref=ts,Micro Influencer,Agree
Nguyen Anh TUan,Facebook,16586,https://www.facebook.com/dadsubean,Micro Influencer,Agree
Nguyễn Viết SInh,Facebook,20000,https://www.facebook.com/sinh.thuy.16?fref=ts,Micro Influencer,Agree
Nguyễn Thanh Hoa,Facebook,51000,https://www.facebook.com/dont.cry.90?fref=ts,Micro Influencer,Agree
ngô phuong thanh,Facebook,7444,https://www.facebook.com/ngo.thanh.102,Micro Influencer,Agree
Đỗ Hồng Lê Thanh Mai,Facebook,30000,https://www.facebook.com/dohong.lethanhmai?fref=ts,Micro Influencer,Agree
Vũ Thị Thu Hiền,Facebook,207320,https://m.facebook.com/vthuhien1985,Micro Influencer,Agree
Phương Anh Cun,Facebook,70286,https://www.facebook.com/phuonganh.cun.1,Micro Influencer,Agree
Lê Hồng Hạnh,Facebook,116010,https://www.facebook.com/hanhnhim10384,Micro Influencer,Agree
Lê Thị Thuý Kiều,Facebook,70210,https://www.facebook.com/katie.kieu.3,Micro Influencer,Agree
Mai Thanh Thảo,Facebook,30000,https://www.facebook.com/thaomai.mai.7?fref=ts,Micro Influencer,Agree
Du Hoàn Du,Facebook,12000,https://www.facebook.com/xubinyeu?fref=ts,Micro Influencer,Agree
Thanh Hòa,Facebook,54600,https://www.facebook.com/hoapham92.hn?fref=ts,Micro Influencer,Agree
Lệ Thủy,Facebook,103000,https://www.facebook.com/giotnuoc.88?fref=ts,Micro Influencer,Agree
Anh Đức,Facebook,59782,https://www.facebook.com/anhducdan?fref=ts,Micro Influencer,Agree
Đinh thị thuý an,Facebook,29986,https://www.facebook.com/dinhthi.thuyan.1,Micro Influencer,Agree
Trang Võ,Facebook,106570,https://www.facebook.com/trang.vo.3705157,Micro Influencer,Agree
Minh Nguyễn,Facebook,53000,https://www.facebook.com/profile.php?id=100000575198518&ref=ts&fref=ts,Micro Influencer,Agree
Hằng Nga Hằng Nga,Facebook,51123,https://www.facebook.com/hangnga.hangnga?fref=ts,Micro Influencer,Agree
Jelly Nguyen,Facebook,162500,https://www.facebook.com/jelly.nguyen.8,Micro Influencer,Agree
Phạm Hoàng Giang,Facebook,25947,https://www.facebook.com/bogia.boptroc?fref=ts,Micro Influencer,Agree
Ngọc Hòa Lê Thị,Facebook,52000,https://www.facebook.com/ngoc.hoa.182?fref=tsq,Micro Influencer,Agree
Hằng Phạm Hằng,Facebook,155100,https://www.facebook.com/hangphamhanghtm,Micro Influencer,Agree
Trương Ngọc Ánh,Facebook,152928,https://www.facebook.com/shu.dan.7,Micro Influencer,Agree
Nhat Quang Nguyen,Facebook,30100,https://www.facebook.com/nhat.nguyenquang.31,Micro Influencer,Agree
Huyen Tom,Facebook,165331,https://www.facebook.com/HuyenTom09,Micro Influencer,Agree
Nhi Yen Vo,Facebook,52588,https://www.facebook.com/nhi.vo.925,Micro Influencer,Agree
Hoàng Vân Ninh,Facebook,200000,https://www.facebook.com/hoangvanninhhtv,Micro Influencer,Agree
Huong Dinh Thu,Facebook,34987,https://www.facebook.com/huong.dinhthu.94?ref=ts&fref=ts,Micro Influencer,Agree
Kem Tuyết,Facebook,31159,https://www.facebook.com/bao.lam.9085,Micro Influencer,Agree
Tô Hòa Dung,Facebook,51100,https://www.facebook.com/dung.tohoa?ref=ts&fref=ts,Micro Influencer,Agree
Nhung To Hong,Facebook,40054,https://www.facebook.com/TOHONGNHUNG.070390?ref=ts&fref=ts,Micro Influencer,Agree
Trương xuân Hương,Facebook,32090,https://www.facebook.com/tom.lun.37?ref=ts&fref=ts,Micro Influencer,Agree
Lê Thị Mỹ Thuận,Facebook,53190,https://www.facebook.com/Kemtuoi.1985,Micro Influencer,Agree
Duong Quynh Anh,Facebook,205000,https://www.facebook.com/jullietquynhanh,Micro Influencer,Agree
Bich Tram,Facebook,55500,www.fb.com/tram.yeubien,Micro Influencer,Agree
Nguyễn Minh Thủy,Facebook,31000,https://www.facebook.com/thuy.sinh.5,Micro Influencer,Agree
Lý Phương Huyền,Facebook,68226,https://www.facebook.com/huyen.phuongdepgai?fref=ts,Micro Influencer,Agree
Thanh Mai,Facebook,52388,https://www.facebook.com/profile.php?id=100001265206581&fref=ts,Micro Influencer,Agree
Linh Gia Nhím,Facebook,59850,https://www.facebook.com/nguyen.hoaithom.79,Micro Influencer,Agree
Hoang Kim Phat,Facebook,32368,https://www.facebook.com/profile.php?id=100008458655951,Micro Influencer,Agree
Trần Bảo Kim,Facebook,53600,https://www.facebook.com/baokim3679,Micro Influencer,Agree
Ut Thanh,Facebook,52150,https://www.facebook.com/ut.thanh.50,Micro Influencer,Agree
Thu Trang Nguyen,Facebook,86400,https://www.facebook.com/nin.me.5?fref=ts,Micro Influencer,Agree
Đỗ Lan,Facebook,22298,https://www.facebook.com/meomap1144?fref=ts,Micro Influencer,Agree
Xuân Thanh Nguyễn,Facebook,58288,https://www.facebook.com/xuan.thanh.nguyenTun?fref=ts,Micro Influencer,Agree
NhungThu Le,Facebook,197912,https://www.facebook.com/nnhungle,Micro Influencer,Agree
Phan Thanh Tài,Facebook,54417,https://www.facebook.com/phanthanhtai83?fref=ts,Micro Influencer,Agree
Nguyễn Thụy Hoài Mơ,Facebook,166250,https://www.facebook.com/hoaimonguyenthuy,Micro Influencer,Agree
Ánh Nguyễn,Facebook,102506,https://www.facebook.com/me.huonggiang,Micro Influencer,Agree
Lê Thanh Hải,Facebook,46526,https://www.facebook.com/hai.le.thanhtt?fref=ts,Micro Influencer,Agree
Tu Lam Kha,Facebook,210564,https://m.facebook.com/tu.lamkha,Micro Influencer,Agree
Tuấn Kiệt Trần,Facebook,51657,https://www.facebook.com/lina.tran.96742?fref=ts,Micro Influencer,Agree
Nguyễn Trương Tâm Đan,Facebook,70020,https://www.facebook.com/profile.php?id=100006922483880&fref=ts,Micro Influencer,Agree
Đinh Thị Trang Nhung,Facebook,166800,https://www.facebook.com/trang.nhung.1690,Micro Influencer,Agree
Minh Thúy Nguyễn,Facebook,102000,https://www.facebook.com/mthuy232,Micro Influencer,Agree
Jasmin Vũ,Facebook,52134,https://www.facebook.com/hienvutb85,Micro Influencer,Agree
Hằng Thanh,Facebook,111249,https://www.facebook.com/hang.thanh.148553,Micro Influencer,Agree
Trần Thị Phương Anh,Facebook,74709,https://www.facebook.com/co.aprill,Micro Influencer,Agree
TRAN TOAN,Facebook,52143,https://www.facebook.com/toantqi,Micro Influencer,Agree
Thu Thủy,Facebook,49398,https://www.facebook.com/thuy.thu.14268?ref=ts&fref=ts,Micro Influencer,Agree
Giang Lê Lê,Facebook,121000,https://www.facebook.com/binh.kim.549?fref=ts,Micro Influencer,Agree
Lan Anh,Facebook,40000,https://www.facebook.com/nunhi.tinh.5,Micro Influencer,Agree
Tran Hoang Anh Nguyet,Facebook,142000,https://www.facebook.com/vinhvinh0808,Micro Influencer,Agree
Nguyen Vu Thu Trang,Facebook,93255,https://www.facebook.com/thutrang.nguyenvu.7?fref=ts,Micro Influencer,Agree
Huỳnh Lê Bằng,Facebook,55244,https://www.facebook.com/lebang2103?fref=ts,Micro Influencer,Agree
Nga Nguyễn,Facebook,75466,https://www.facebook.com/thungaquynh?fref=ts,Micro Influencer,Agree
Đinh Thụy,Facebook,100000,https://www.facebook.com/dinh.thuy.58,Micro Influencer,Agree
Lương Thúy Hằng,Facebook,133700,https://www.facebook.com/moon.hang.1582?fref=ts,Micro Influencer,Agree
Thùy Nhiên Hoàng Thị,Facebook,77123,www.facebook.com/hoangthithuynhien1011,Micro Influencer,Agree
Hoàng Long Lữ,Facebook,66144,https://www.facebook.com/luhoanglong1205?fref=ts,Micro Influencer,Agree
Trương Thị Thùy Chi,Facebook,114400,https://www.facebook.com/sonoko.truong,Micro Influencer,Agree
Hữu Thuỵ,Facebook,14993,https://www.facebook.com/duy.ngu315?fref=ts,Micro Influencer,Agree
Mẹ IU Su Mi,Facebook,25766,https://www.facebook.com/meiusuvami?fref=ts,Micro Influencer,Agree
Minh Tuệ,Facebook,30600,https://www.facebook.com/quangtue.chu,Micro Influencer,Agree
Trịnh Huyền,Facebook,107956,https://www.facebook.com/profile.php?id=100011773579602&fref=ts,Micro Influencer,Agree
Nguyễn Thị Huệ,Facebook,48388,https://facebook.com/em.la.ai1111?fref=ts,Micro Influencer,Agree
Phạm Thị Hoàng Oanh,Facebook,82990,https://www.facebook.com/phamchieunghi,Micro Influencer,Agree
Đinh Thuý An,Facebook,103700,https://www.facebook.com/dinhthi.thuyan.1,Micro Influencer,Agree
Phùng Hiền Nhi,Facebook,10627,https://www.facebook.com/hien.nhi.775?ref=ts&fref=ts,Micro Influencer,Agree
Kim Thoa,Facebook,69178,https://www.facebook.com/thoa.binbin,Micro Influencer,Agree
Nguyễn Công Liêm,Facebook,53255,https://www.facebook.com/nguoikhachtro.photo?pnref=story,Micro Influencer,Agree
Huyen Tom,Facebook,159139,https://www.facebook.com/huyentom09,Micro Influencer,Agree
Khánh Trần,Facebook,18000,https://www.facebook.com/huong.meo.585,Micro Influencer,Agree
Do Nga,Facebook,40230,https://www.facebook.com/donga0510,Micro Influencer,Agree
Vu Ngoc Son,Facebook,12468,https://www.facebook.com/vungocson78,Micro Influencer,Agree
Bui Thi Huong,Facebook,21300,https://www.facebook.com/profile.php?id=100006010248056&ref=ts&fref=ts,Micro Influencer,Agree
Đình Huề,Facebook,50800,https://www.facebook.com/dinhhue1984,Micro Influencer,Agree
Thu Thủy,Facebook,21505,https://www.facebook.com/thu.thuy198913,Micro Influencer,Agree
Út Út Chín,Facebook,100000,https://www.facebook.com/nguyenchin.dn,Micro Influencer,Agree
Mẹ Đăng Khoa,Facebook,105200,https://www.facebook.com/medangkhoa2009,Micro Influencer,Agree
Phùng Thanh Xuân,Facebook,57000,https://www.facebook.com/phung.thanhxuan,Micro Influencer,Agree
Hương Hoàng Nguyễn,Facebook,31000,https://www.facebook.com/tien.h.hoang?fref=ts,Micro Influencer,Agree
Vũ Thanh Huyền,Facebook,135000,https://www.facebook.com/thanhhuyencp121,Micro Influencer,Agree
Song Anh,Facebook,106000,https://www.facebook.com/ngockelly1995,Micro Influencer,Agree
Huấn Vũ,Facebook,8323,https://www.facebook.com/huan.vu.711?fref=ts,Micro Influencer,Agree
Thùy Chi,Facebook,59809,https://www.facebook.com/thuychi1986?fref=ts,Micro Influencer,Agree
Khánh Trần,Facebook,16798,https://www.facebook.com/huong.meo.585,Micro Influencer,Agree
Nguyễn Thị Ngọc Trâm,Facebook,52458,http://www.facebook.com/ngoccham84.vn,Micro Influencer,Agree
Lâm Long,Facebook,15667,https://www.facebook.com/thuy.long.355?fref=ts,Micro Influencer,Agree
Thu Thủy,Facebook,47564,https://www.facebook.com/thuy.thu.14268?ref=ts&fref=ts,Micro Influencer,Agree
Cẩm Hà Phạm Thị,Facebook,64384,https://www.facebook.com/camha.phamthi,Micro Influencer,Agree
Nguyễn Thị Kim Thu,Facebook,61234,https://www.facebook.com/happyfamily0203,Micro Influencer,Agree
Jasmin Vũ,Facebook,52134,https://www.facebook.com/hienvutb85,Micro Influencer,Agree
Hằng Thanh,Facebook,111249,https://www.facebook.com/hang.thanh.148553,Micro Influencer,Agree
TRAN TOAN,Facebook,52.143,https://www.facebook.com/toantqi,Micro Influencer,Agree
Thu Thủy,Facebook,49.398,https://www.facebook.com/thuy.thu.14268?ref=ts&fref=ts,Micro Influencer,Agree
Giang Lê Lê,Facebook,121000,https://www.facebook.com/binh.kim.549?fref=ts,Micro Influencer,Agree
Lan Anh,Facebook,40000,https://www.facebook.com/nunhi.tinh.5,Micro Influencer,Agree
Tran Hoang Anh Nguyet,Facebook,142000,https://www.facebook.com/vinhvinh0808,Micro Influencer,Agree
Nguyen Vu Thu Trang,Facebook,93.255,https://www.facebook.com/thutrang.nguyenvu.7?fref=ts,Micro Influencer,Agree
Huỳnh Lê Bằng,Facebook,55.244,https://www.facebook.com/lebang2103?fref=ts,Micro Influencer,Agree
Nga Nguyễn,Facebook,75.466,https://www.facebook.com/thungaquynh?fref=ts,Micro Influencer,Agree
Đinh Thụy,Facebook,100000,https://www.facebook.com/dinh.thuy.58,Micro Influencer,Agree
Lương Thúy Hằng,Facebook,133700,https://www.facebook.com/moon.hang.1582?fref=ts,Micro Influencer,Agree
Thùy Nhiên Hoàng Thị,Facebook,77123,www.facebook.com/hoangthithuynhien1011,Micro Influencer,Agree
Minh Tuệ,Facebook,7690,https://www.facebook.com/quangtue.chu,Micro Influencer,Agree
Trịnh Huyền,Facebook,107956,https://www.facebook.com/profile.php?id=100011773579602&fref=ts,Micro Influencer,Agree
Đinh Thuý An,Facebook,103700,https://www.facebook.com/dinhthi.thuyan.1,Micro Influencer,Agree
Phùng Hiền Nhi,Facebook,10627,https://www.facebook.com/hien.nhi.775?ref=ts&fref=ts,Micro Influencer,Agree
Kim Thoa,Facebook,69181,https://www.facebook.com/thoa.binbin,Micro Influencer,Agree
Nguyễn Công Liêm,Facebook,53.255,https://www.facebook.com/nguoikhachtro.photo?pnref=story,Micro Influencer,Agree
Do Nga,Facebook,40230,https://www.facebook.com/donga0510,Micro Influencer,Agree
Bui Thi Huong,Facebook,21300,https://www.facebook.com/profile.php?id=100006010248056&ref=ts&fref=ts,Micro Influencer,Agree
Đình Huề,Facebook,50800,https://www.facebook.com/dinhhue1984,Micro Influencer,Agree
Út Út Chín,Facebook,100000,https://www.facebook.com/nguyenchin.dn,Micro Influencer,Agree
Mẹ Đăng Khoa,Facebook,105200,https://www.facebook.com/medangkhoa2009,Micro Influencer,Agree
Phùng Thanh Xuân,Facebook,57000,https://www.facebook.com/phung.thanhxuan,Micro Influencer,Agree
Hương Hoàng Nguyễn,Facebook,31000,https://www.facebook.com/tien.h.hoang?fref=ts,Micro Influencer,Agree
Vũ Thanh Huyền,Facebook,135000,https://www.facebook.com/thanhhuyencp121,Micro Influencer,Agree
Song Anh,Facebook,106000,https://www.facebook.com/ngockelly1995,Micro Influencer,Agree
Thùy Chi,Facebook,59.809,https://www.facebook.com/thuychi1986?fref=ts,Micro Influencer,Agree
Nguyễn Thị Ngọc Trâm,Facebook,52.458,http://www.facebook.com/ngoccham84.vn,Micro Influencer,Agree
Thu Thủy,Facebook,47.564,https://www.facebook.com/thuy.thu.14268?ref=ts&fref=ts,Micro Influencer,Agree
Cẩm Hà Phạm Thị,Facebook,64.384,https://www.facebook.com/camha.phamthi,Micro Influencer,Agree
Nguyễn Thị Kim Thu,Facebook,61.234,https://www.facebook.com/happyfamily0203,Micro Influencer,Agree
Lã Thị Hoa,Facebook,56.148,https://www.facebook.com/aaaaa111234,Micro Influencer,Agree
Dương Hoàng Vũ,Facebook,19233,https://www.facebook.com/huongvmas,Micro Influencer,Agree
Vân lê hồng,Facebook,117.283,https://www.facebook.com/lehongvan9183,Micro Influencer,Agree
Hoài An,Facebook,17013,https://www.facebook.com/mebekietminh?fref=ts,Micro Influencer,Agree
Hướng Hướng Ng,Facebook,21600,https://www.facebook.com/nguyenchi.huong.798,Micro Influencer,Agree
Phạm Xuân Thông,Facebook,15000,https://www.facebook.com/truongvan.thi88,Micro Influencer,Agree
Nguyen Van Anh,Facebook,85000,https://www.facebook.com/mesuzin,Micro Influencer,Agree
Nguyễn Văn Thiện,Facebook,38.295,https://www.facebook.com/trecon.bagia?pnref=friends.search,Micro Influencer,Agree
Hoàng Bảo An,Facebook,54.583,https://www.facebook.com/profile.php?id=100009507450555,Micro Influencer,Agree
Nguyễn Đông Anh,Facebook,23.152,https://www.facebook.com/profile.php?id=100009138747282&fref=ts,Micro Influencer,Agree
Nguyễn Trần Vân Anh,Facebook,9.485,https://www.facebook.com/nguyenvananh.2304,Micro Influencer,Agree
Đỗ Thu Thủy,Facebook,23.319,https://www.facebook.com/thu.thuy.do85,Micro Influencer,Agree
Lê Hồng Anh,Facebook,18.545,https://www.facebook.com/profile.php?id=100009283183881,Micro Influencer,Agree
Nơi Bình Yên,Facebook,18.415,https://www.facebook.com/profile.php?id=100009468992591&ref=ts&fref=ts,Micro Influencer,Agree
Trương Thục Đan,Facebook,12.457,https://www.facebook.com/profile.php?id=100009777780058,Micro Influencer,Agree
Phạm Quỳnh Anh,Facebook,13.995,https://www.facebook.com/profile.php?id=100009208546276,Micro Influencer,Agree
SuSu SuSu,Facebook,1.486,https://www.facebook.com/profile.php?id=100007522294491&fref=ts,Micro Influencer,Agree
Thu Ha,Facebook,12330,https://www.facebook.com/profile.php?id=100008856061684&fref=ts,Micro Influencer,Agree
Nguyễn Thuận An,Facebook,29000,https://www.facebook.com/profile.php?id=100009514501903&fref=ts,Micro Influencer,Agree
Mơ Trần,Facebook,51.105,https://www.facebook.com/motran2610,Micro Influencer,Agree
Nguyễn Thị Sen,Facebook,65.622,https://www.facebook.com/nguyenthisen122,Micro Influencer,Agree
Ba Minh Phương,Facebook,33.053,https://www.facebook.com/su.ledinh.1,Micro Influencer,Agree
Su Le Dinh,Facebook,33.053,https://www.facebook.com/su.ledinh.1,Micro Influencer,Agree
Lê Phước Chi,Facebook,1.831,https://www.facebook.com/lphuocchi,Micro Influencer,Agree
Lê Phước Hải,Facebook,4.359,https://www.facebook.com/phuochai.le.731,Micro Influencer,Agree
Thuy Lee,Facebook,21000,https://www.facebook.com/Thuy.Le88?fref=ts,Micro Influencer,Agree
Vũ Dương,Facebook,57242,https://www.facebook.com/profile.php?id=100010114932096,Micro Influencer,Agree
Phạm Mạnh Hùng,Facebook,22905,https://www.facebook.com/hungphammanh.82,Micro Influencer,Agree
Hằng Nguyễn,Facebook,10795,https://www.facebook.com/hangnguyen.902015?fref=ts,Micro Influencer,Agree
Đỗ Ngọc Hiền,Facebook,80.281,https://www.facebook.com/hienngocdo.84?fref=ts,Micro Influencer,Agree
Oanh Lee,Facebook,9218,https://www.facebook.com/hungnhi.long?fref=ts,Micro Influencer,Agree
Trang Võ,Facebook,52570,https://www.facebook.com/trang.vo.3705157,Micro Influencer,Agree
Thang Nguyen Duc,Facebook,48722,https://www.facebook.com/profile.php?id=100009422075428&fref=ts,Micro Influencer,Agree
Lê Thị Duyến,Facebook,51000,https://www.facebook.com/ken.nguyen.7982780?fref=ts,Micro Influencer,Agree
Lê Dung,Facebook,11131,https://www.facebook.com/duyen.kieu.9883?fref=ts,Micro Influencer,Agree
Nguyễn Ngọc Hồng,Facebook,103900,https://www.facebook.com/ngochong15112012,Micro Influencer,Agree
Tran Ngoc Anh,Facebook,24645,https://www.facebook.com/truongvan.thi88?ref=ts&fref=ts&qsefr=1,Micro Influencer,Agree
Trương Hoàng Điệp,Facebook,8808,https://www.facebook.com/http.saker?fref=ts,Micro Influencer,Agree
Nhat Thanh Ngo,Facebook,67413,https://www.facebook.com/nhatthanh.ngo.98,Micro Influencer,Agree
Vũ Thu Trang,Facebook,5370,https://www.facebook.com/Jullietduc.minhdam,Micro Influencer,Agree
Trịnh Kiều Lý,Facebook,31.432,https://www.facebook.com/bahaivan243?ref=ts&fref=ts,Micro Influencer,Agree
Vu Thy Hanh,Facebook,52.268,https://www.facebook.com/sakura.ha.vt,Micro Influencer,Agree
Châu Huỳnh Ngân Nguyễn,Facebook,103.568,https://www.facebook.com/huynhnganchau123,Micro Influencer,Agree
